path,module,kind,name,signature,status,role
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","recoverable","open val recoverable: Boolean = false,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","metadata","open val metadata: Map<String, Any> = emptyMap()",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","DomainException","class DomainException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","ValidationException","class ValidationException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","field","val field: String? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","ProviderException","class ProviderException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","providerId","val providerId: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","statusCode","val statusCode: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","RepositoryException","class RepositoryException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","NetworkException","class NetworkException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","statusCode","val statusCode: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","DatabaseException","class DatabaseException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","SecurityException","class SecurityException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","SerializationException","class SerializationException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","AuthenticationException","class AuthenticationException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","RateLimitException","class RateLimitException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"val","retryAfterSeconds","val retryAfterSeconds: Long = 60L,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","QuotaExceededException","class QuotaExceededException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\exception\CoreExceptions.kt",core/common,"class","UnknownException","class UnknownException(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","ResumeAnalysisDto","fun ResumeAnalysisDto.toDomain(): ResumeAnalysis = ResumeAnalysis(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","ResumeAnalysis","fun ResumeAnalysis.toDto(): ResumeAnalysisDto = ResumeAnalysisDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AtsResultDto","fun AtsResultDto.toDomain(id: Long = 0): AtsResult = AtsResult(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AtsResult","fun AtsResult.toDto(): AtsResultDto = AtsResultDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","CoverLetterDto","fun CoverLetterDto.toDomain(id: Long = 0): CoverLetter = CoverLetter(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","CoverLetter","fun CoverLetter.toDto(): CoverLetterDto = CoverLetterDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","InterviewFeedbackDto","fun InterviewFeedbackDto.toDomain(): InterviewFeedback = InterviewFeedback(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","InterviewFeedback","fun InterviewFeedback.toDto(): InterviewFeedbackDto = InterviewFeedbackDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","ApifyJobScraperDto","fun ApifyJobScraperDto.toDomain(): JobListing = JobListing(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AiMessageDto","fun AiMessageDto.toDomain(): AIMessage = AIMessage(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AIMessage","fun AIMessage.toDto(): AiMessageDto = AiMessageDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","UserProfileDto","fun UserProfileDto.toDomain(): UserProfile = UserProfile(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","UserProfile","fun UserProfile.toDto(): UserProfileDto = UserProfileDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","ProviderInfoDto","fun ProviderInfoDto.toDomain(): ProviderInfo = ProviderInfo(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","ProviderInfo","fun ProviderInfo.toDto(): ProviderInfoDto = ProviderInfoDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AnalyticsEventDto","fun AnalyticsEventDto.toDomain(): AnalyticsEvent = AnalyticsEvent(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AnalyticsEvent","fun AnalyticsEvent.toDto(): AnalyticsEventDto = AnalyticsEventDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","JobListingDto","fun JobListingDto.toDomain(): JobListing = JobListing(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","JobListing","fun JobListing.toDto(): JobListingDto = JobListingDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","SettingsDto","fun SettingsDto.toDomain(): AiProviderConfig = AiProviderConfig(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\mapper\CoreMappers.kt",core/common,"fun","AiProviderConfig","fun AiProviderConfig.toDto(): SettingsDto = SettingsDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"data-class","AnalyticsSnapshot","data class AnalyticsSnapshot(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","id","val id: Long = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","timestamp","val timestamp: Long = System.currentTimeMillis(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","kpis","val kpis: Map<String, Double> = emptyMap(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","careerScore","val careerScore: Int,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","dimensionScores","val dimensionScores: Map<String, Int> = emptyMap()",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"data-class","CareerRecommendation","data class CareerRecommendation(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","id","val id: Long = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","title","val title: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","description","val description: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","priority","val priority: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","category","val category: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","actionDeepLink","val actionDeepLink: String? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","evidence","val evidence: Map<String, String>? = emptyMap(),",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","timestamp","val timestamp: Long = System.currentTimeMillis()",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"data-class","CareerGoal","data class CareerGoal(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","id","val id: Long = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","title","val title: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","description","val description: String? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","targetValue","val targetValue: Double,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","currentValue","val currentValue: Double = 0.0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","unit","val unit: String,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","deadline","val deadline: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","isCompleted","val isCompleted: Boolean = false,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\AnalyticsModels.kt",core/common,"val","type","val type: String = ""SYSTEM""",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\model\DomainModels.kt",core/common,"data-class","Resume","data class Resume(",UNKNOWN,UNKNOWN
